No,Well_Job_ID,API Number,Operator,Contractor,DSRE,DSR,TMLDR,Discard Ratio,TLML,Down_Loss,Evap_Loss,Total_SCE,Total_Dil,ROP,Temp,Well_Name,Well_Coord_Lon,Well_Coord_Lat,flowline_Shakers,DOW,IntLength,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,Reserve_Adds,TD_Date,Hole_Size,Dilution_Ratio,Dil_Per_Hole_Vol_Ratio,Solids_Generated,Average_LGS%,IsReviewed,Basin,DI Basin,AAPG Geologic Province,MD Depth,County Code,State Code
1389,1638,3.00E+13,Oxy,H&P 466,0.776350621,488.33683,1,2.652957795,1513.7,0,0,1295.537,1513.7,83.94615385,110.1428571,DR PI FEDERAL UNIT 18 7 IPP 313H,-103.709859,32.384768,Derrick Hyperpool,8,10913,11.45,130,1783.87383,811.6,287,287.8,56.8,70.5,7/7/2022 0:00,6.75,1.113978219,2.84557269,507.17383,0.085875,1,,No Details,No Details,22298,25,30
1390,645,3.31E+13,Newfield Exploration,H&P 215,0.879710258,695.4143182,1.076114038,0.88795195,1316,30,17,617.4945,1316,97.65957447,136.1666667,Schneiderman 150-99-29-32-4H,-103.374804,47.791361,Brandt King Cobra,6,9180,10.55,94,1312.908818,440,280,105,36,455,18-06-2019,8.75,1.394344403,1.200989551,716.9088182,0.078416667,1,,WILLISTON,WILLISTON,18130,53,33
1391,797,3.31E+13,Encana Oil & Gas,Patterson 344,0.930250293,745.1636219,1.168349004,0.581916491,1064.592,0,73,433.623,1064.592,102.4971623,108.8,Kummer149-98-3-10-2HLW,-103.216538,47.760746,Derrick Hyperpool,7,9030,11.325,88.1,1178.786622,505,0,182.431,22.161,355,16-03-2020,8.75,1.636426112,1.006235694,705.1946219,0.061571429,1,,WILLISTON,WILLISTON,24429,53,33
1392,992,4.23E+13,Conoco Phillips,H&P 256,0.791344807,998.6435701,1.069090507,1.376875635,2396.3,0,95,1375.008,2396.3,111.8893281,146.1428571,JJJ Ranch Unit A 6,-103.2162367,47.76097434,Derrick Hyperpool,7,14154,12.5,126.5,2373.65157,1027.8,225,98.3,113.2,932,10/5/2020 0:00,8.75,1.064939259,1.324736889,1105.35157,0.113571429,1,,GULF COAST WEST,TEXAS & LOUISIANA GULF COAST BASIN,17792,255,42
1393,646,3.31E+13,Newfield Exploration,H&P 215,0.782713211,363.270894,1.236165342,0.594461058,647,51,0,215.9504,647,420.4,137.2222222,Schneiderman 150-99-29-32-5H,-103.374804,47.79158,Brandt King Cobra,9,10510,11.2,25,579.221294,172,0,40,0,435,5/7/2019 0:00,6,0.98170691,0.580469988,365.221294,0.084322222,1,,WILLISTON,WILLISTON,15984,53,33
1394,646,3.31E+13,Newfield Exploration,H&P 215,0.877017697,709.4453932,1.267358233,0.411227422,903,75,3,291.7434,903,377.88,137,Schneiderman 150-99-29-32-5H,-103.374804,47.79158,Brandt King Cobra,9,9447,11.2,25,1001.188793,337,34,64,13,455,7/5/2019 0:00,8.75,1.535596007,0.62205911,720.1887932,0.086066667,1,,WILLISTON,WILLISTON,15984,53,33
1395,648,3.31E+13,Newfield Exploration,H&P 215,0.886771118,616.6272383,1.226130318,0.473328264,830,55,11,291.8671,830,111.3661972,122.8,Schneiderman 150-99-29-32-6H,-103.374804,47.791498,Brandt King Cobra,6,7907,10.75,71,908.4943383,393,120,45,17,255,26-05-2019,8.75,1.970074736,0.931182627,617.4943383,0.075183333,1,,WILLISTON,WILLISTON,4837,53,33
1396,649,3.31E+13,Newfield Exploration,H&P 215,0.875517863,702.6290057,1.084397706,1.011799675,1363,60,0,710.9198,1363,368.04,120,Schneiderman 150-99-29-32-7H,-103.374804,47.791416,Brandt King Cobra,7,9201,11.025,25,1413.548806,618,170,71,15,489,18-05-2019,8.75,1.229393245,1.216340481,718.5488057,0.079657143,1,,WILLISTON,WILLISTON,16893,53,33
1397,651,3.31E+13,Newfield Exploration,Patterson 344,0.823864514,661.2180325,1.409974684,0.147556472,831,40,0,97.567,831,365.6,127.5,Hoffmann 150-98-17-20-6H,-103.264091,47.818268,Brandt King Cobra,6,9140,10.95,25,758.7850325,456,115,85,0,175,7/7/2019 0:00,8.75,6.723584819,0.919044208,713.7850325,0.080566667,1,,WILLISTON,WILLISTON,20705,53,33
1398,652,3.31E+13,Newfield Exploration,Patterson 344,0.870934804,745.4877503,1.078254046,0.634241139,1135,27,10,472.819,1135,150.0634921,138.6,Hoffmann 150-98-17-20-10HLW,-103.264213,47.818268,Brandt King Cobra,7,9454,11.25,63,1218.30675,253,114,78,17,673,15-07-2019,8.75,0.977118094,0.625756164,738.3067503,0.077257143,1,,WILLISTON,WILLISTON,5685,53,33
